"","id","itemTime","trialnumber","value","access","observation","answer1","answer2","RT","answer3","answer.full","uncertainty"
"15","A115UFR6VA6OM1:3FIUS151DWA0PIUC24QD9P76DVTGGR",1456178905165,3,103,10,3,"is_certainly","probable",11218,"likely","is_certainly likely","none"
"16","A115UFR6VA6OM1:3FIUS151DWA0PIUC24QD9P76DVTGGR",1456178916580,4,43,4,3,"is_probably","likely",11414,"likely","is_probably likely","high"
"17","A115UFR6VA6OM1:3FIUS151DWA0PIUC24QD9P76DVTGGR",1456178934408,5,105,10,5,"might_be","possible",17826,"possible","might_be possible","none"
"18","A115UFR6VA6OM1:3FIUS151DWA0PIUC24QD9P76DVTGGR",1456178942727,6,88,8,8,"is_certainly","probable",8317,"likely","is_certainly likely","low"
"19","A115UFR6VA6OM1:3FIUS151DWA0PIUC24QD9P76DVTGGR",1456178951907,7,80,8,0,"is_probably","unlikely",9179,"unlikely","is_probably unlikely","low"
"20","A115UFR6VA6OM1:3FIUS151DWA0PIUC24QD9P76DVTGGR",1456178962273,8,102,10,2,"might_be","unlikely",10364,"unlikely","might_be unlikely","none"
"21","A115UFR6VA6OM1:3FIUS151DWA0PIUC24QD9P76DVTGGR",1456178968975,9,42,4,2,"might_be","possible",6701,"possible","might_be possible","high"
"22","A115UFR6VA6OM1:3FIUS151DWA0PIUC24QD9P76DVTGGR",1456178976298,10,82,8,2,"is_probably","unlikely",7321,"unlikely","is_probably unlikely","low"
"23","A115UFR6VA6OM1:3FIUS151DWA0PIUC24QD9P76DVTGGR",1456178982661,11,20,2,0,"is_certainly","unlikely",6361,"unlikely","is_certainly unlikely","high"
"24","A115UFR6VA6OM1:3FIUS151DWA0PIUC24QD9P76DVTGGR",1456178991304,12,107,10,7,"might_be","probable",8642,"likely","might_be likely","none"
"25","A11THU6UGG3THR:3YOH7BII0AFO91GQHQAE7I297SEKV5",1456259814763,1,41,4,1,"might_be","unlikely",30524,"unlikely","might_be unlikely","high"
"26","A11THU6UGG3THR:3YOH7BII0AFO91GQHQAE7I297SEKV5",1456259828445,2,108,10,8,"is_certainly","likely",13667,"likely","is_certainly likely","none"
"27","A11THU6UGG3THR:3YOH7BII0AFO91GQHQAE7I297SEKV5",1456259838293,3,103,10,3,"is_certainly","unlikely",9840,"unlikely","is_certainly unlikely","none"
"28","A11THU6UGG3THR:3YOH7BII0AFO91GQHQAE7I297SEKV5",1456259847412,4,105,10,5,"is_certainly","possible",9112,"possible","is_certainly possible","none"
"29","A11THU6UGG3THR:3YOH7BII0AFO91GQHQAE7I297SEKV5",1456259860838,5,88,8,8,"is_certainly","likely",13418,"likely","is_certainly likely","low"
"30","A11THU6UGG3THR:3YOH7BII0AFO91GQHQAE7I297SEKV5",1456259878779,6,42,4,2,"might_be","possible",17935,"possible","might_be possible","high"
"31","A11THU6UGG3THR:3YOH7BII0AFO91GQHQAE7I297SEKV5",1456259885464,7,82,8,2,"might_be","unlikely",6677,"unlikely","might_be unlikely","low"
"32","A11THU6UGG3THR:3YOH7BII0AFO91GQHQAE7I297SEKV5",1456259891792,8,86,8,6,"might_be","likely",6316,"likely","might_be likely","low"
"33","A11THU6UGG3THR:3YOH7BII0AFO91GQHQAE7I297SEKV5",1456259914640,9,20,2,0,"might_be","unlikely",22833,"unlikely","might_be unlikely","high"
"34","A11THU6UGG3THR:3YOH7BII0AFO91GQHQAE7I297SEKV5",1456259921234,10,107,10,7,"is","likely",6582,"likely","is likely","none"
"35","A11THU6UGG3THR:3YOH7BII0AFO91GQHQAE7I297SEKV5",1456259929753,11,80,8,0,"is_probably","unlikely",8511,"unlikely","is_probably unlikely","low"
"36","A11THU6UGG3THR:3YOH7BII0AFO91GQHQAE7I297SEKV5",1456259938849,12,84,8,4,"is","possible",9089,"possible","is possible","low"
"37","A13T61GJTR2Y9B:3G0WWMR1UWSXCZ5CS48KTNK5KUNQN3",1456169527715,1,107,10,7,"is","probable",18724,"likely","is likely","none"
"38","A13T61GJTR2Y9B:3G0WWMR1UWSXCZ5CS48KTNK5KUNQN3",1456169547091,2,105,10,5,"is","possible",19370,"possible","is possible","none"
"39","A13T61GJTR2Y9B:3G0WWMR1UWSXCZ5CS48KTNK5KUNQN3",1456169562507,3,20,2,0,"might_be","possible",15398,"possible","might_be possible","high"
"40","A13T61GJTR2Y9B:3G0WWMR1UWSXCZ5CS48KTNK5KUNQN3",1456169578195,4,84,8,4,"might_be","possible",15671,"possible","might_be possible","low"
"41","A13T61GJTR2Y9B:3G0WWMR1UWSXCZ5CS48KTNK5KUNQN3",1456169585924,5,108,10,8,"is","probable",7722,"likely","is likely","none"
"42","A13T61GJTR2Y9B:3G0WWMR1UWSXCZ5CS48KTNK5KUNQN3",1456169594179,6,102,10,2,"is","unlikely",8250,"unlikely","is unlikely","none"
"43","A13T61GJTR2Y9B:3G0WWMR1UWSXCZ5CS48KTNK5KUNQN3",1456169605203,7,86,8,6,"is_probably","likely",11018,"likely","is_probably likely","low"
"44","A13T61GJTR2Y9B:3G0WWMR1UWSXCZ5CS48KTNK5KUNQN3",1456169614195,8,43,4,3,"is","probable",8986,"likely","is likely","high"
"45","A13T61GJTR2Y9B:3G0WWMR1UWSXCZ5CS48KTNK5KUNQN3",1456169623404,9,88,8,8,"is_certainly","likely",9202,"likely","is_certainly likely","low"
"46","A13T61GJTR2Y9B:3G0WWMR1UWSXCZ5CS48KTNK5KUNQN3",1456169628221,10,22,2,2,"is","possible",4810,"possible","is possible","high"
"47","A13T61GJTR2Y9B:3G0WWMR1UWSXCZ5CS48KTNK5KUNQN3",1456169633309,11,42,4,2,"is","possible",5082,"possible","is possible","high"
"48","A13T61GJTR2Y9B:3G0WWMR1UWSXCZ5CS48KTNK5KUNQN3",1456169642484,12,82,8,2,"is_probably","unlikely",9169,"unlikely","is_probably unlikely","low"
"49","A13XNKKN2LI6DF:3IGI0VL648SURNSWDRGG4IP55T6ONU",1456170934510,1,86,8,6,"might_be","possible",26178,"possible","might_be possible","low"
"50","A13XNKKN2LI6DF:3IGI0VL648SURNSWDRGG4IP55T6ONU",1456170943596,2,82,8,2,"is_probably","unlikely",9080,"unlikely","is_probably unlikely","low"
"51","A13XNKKN2LI6DF:3IGI0VL648SURNSWDRGG4IP55T6ONU",1456170954493,3,42,4,2,"is","possible",10893,"possible","is possible","high"
"52","A13XNKKN2LI6DF:3IGI0VL648SURNSWDRGG4IP55T6ONU",1456170967372,4,80,8,0,"is_certainly","unlikely",12875,"unlikely","is_certainly unlikely","low"
"53","A13XNKKN2LI6DF:3IGI0VL648SURNSWDRGG4IP55T6ONU",1456170975834,5,105,10,5,"is","possible",8458,"possible","is possible","none"
"54","A13XNKKN2LI6DF:3IGI0VL648SURNSWDRGG4IP55T6ONU",1456170986719,6,88,8,8,"is_certainly","likely",10881,"likely","is_certainly likely","low"
"55","A13XNKKN2LI6DF:3IGI0VL648SURNSWDRGG4IP55T6ONU",1456170997507,7,20,2,0,"is_certainly","unlikely",10784,"unlikely","is_certainly unlikely","high"
"56","A13XNKKN2LI6DF:3IGI0VL648SURNSWDRGG4IP55T6ONU",1456171010489,8,103,10,3,"might_be","possible",12978,"possible","might_be possible","none"
"57","A13XNKKN2LI6DF:3IGI0VL648SURNSWDRGG4IP55T6ONU",1456171020739,9,107,10,7,"might_be","probable",10247,"likely","might_be likely","none"
"58","A13XNKKN2LI6DF:3IGI0VL648SURNSWDRGG4IP55T6ONU",1456171026289,10,102,10,2,"might_be","unlikely",5547,"unlikely","might_be unlikely","none"
"59","A13XNKKN2LI6DF:3IGI0VL648SURNSWDRGG4IP55T6ONU",1456171039692,11,22,2,2,"is_certainly","likely",13399,"likely","is_certainly likely","high"
"60","A13XNKKN2LI6DF:3IGI0VL648SURNSWDRGG4IP55T6ONU",1456171052768,12,41,4,1,"is","unlikely",13062,"unlikely","is unlikely","high"
"61","A160HFSRDNT91E:3X1FV8S5JYZJ7FK7RZPZ9QAG0AGVGU",1456169650404,1,86,8,6,"is_probably","likely",17068,"likely","is_probably likely","low"
"62","A160HFSRDNT91E:3X1FV8S5JYZJ7FK7RZPZ9QAG0AGVGU",1456169663326,2,103,10,3,"is","unlikely",12920,"unlikely","is unlikely","none"
"63","A160HFSRDNT91E:3X1FV8S5JYZJ7FK7RZPZ9QAG0AGVGU",1456169670126,3,43,4,3,"is_probably","likely",6799,"likely","is_probably likely","high"
"64","A160HFSRDNT91E:3X1FV8S5JYZJ7FK7RZPZ9QAG0AGVGU",1456169680425,4,105,10,5,"is","possible",10299,"possible","is possible","none"
"65","A160HFSRDNT91E:3X1FV8S5JYZJ7FK7RZPZ9QAG0AGVGU",1456169687952,5,82,8,2,"is","unlikely",7526,"unlikely","is unlikely","low"
"66","A160HFSRDNT91E:3X1FV8S5JYZJ7FK7RZPZ9QAG0AGVGU",1456169701311,6,102,10,2,"is_probably","unlikely",13358,"unlikely","is_probably unlikely","none"
"67","A160HFSRDNT91E:3X1FV8S5JYZJ7FK7RZPZ9QAG0AGVGU",1456169708300,7,41,4,1,"is","unlikely",6988,"unlikely","is unlikely","high"
"68","A160HFSRDNT91E:3X1FV8S5JYZJ7FK7RZPZ9QAG0AGVGU",1456169717066,8,22,2,2,"might_be","probable",8765,"likely","might_be likely","high"
"69","A160HFSRDNT91E:3X1FV8S5JYZJ7FK7RZPZ9QAG0AGVGU",1456169724801,9,107,10,7,"is","likely",7734,"likely","is likely","none"
"70","A160HFSRDNT91E:3X1FV8S5JYZJ7FK7RZPZ9QAG0AGVGU",1456169731545,10,80,8,0,"is","unlikely",6742,"unlikely","is unlikely","low"
"71","A160HFSRDNT91E:3X1FV8S5JYZJ7FK7RZPZ9QAG0AGVGU",1456169737247,11,42,4,2,"is","possible",5701,"possible","is possible","high"
"72","A160HFSRDNT91E:3X1FV8S5JYZJ7FK7RZPZ9QAG0AGVGU",1456169744799,12,88,8,8,"is","probable",7551,"likely","is likely","low"
"73","A16UAN46CNIRHY:323Q6SJS8JO8BETSBQ2DC4JVRBLHFX",1455767769245,1,105,10,5,"is_certainly","likely",22122,"likely","is_certainly likely","none"
"74","A16UAN46CNIRHY:323Q6SJS8JO8BETSBQ2DC4JVRBLHFX",1455767782187,2,107,10,7,"is_certainly","likely",12937,"likely","is_certainly likely","none"
"75","A16UAN46CNIRHY:323Q6SJS8JO8BETSBQ2DC4JVRBLHFX",1455767792808,3,84,8,4,"might_be","possible",10616,"possible","might_be possible","low"
"76","A16UAN46CNIRHY:323Q6SJS8JO8BETSBQ2DC4JVRBLHFX",1455767806140,4,80,8,0,"is_certainly","unlikely",13327,"unlikely","is_certainly unlikely","low"
"77","A16UAN46CNIRHY:323Q6SJS8JO8BETSBQ2DC4JVRBLHFX",1455767813920,5,88,8,8,"is_certainly","likely",7775,"likely","is_certainly likely","low"
"78","A16UAN46CNIRHY:323Q6SJS8JO8BETSBQ2DC4JVRBLHFX",1455767823935,6,102,10,2,"is_probably","unlikely",10007,"unlikely","is_probably unlikely","none"
"79","A16UAN46CNIRHY:323Q6SJS8JO8BETSBQ2DC4JVRBLHFX",1455767840045,7,82,8,2,"might_be","unlikely",16104,"unlikely","might_be unlikely","low"
"80","A16UAN46CNIRHY:323Q6SJS8JO8BETSBQ2DC4JVRBLHFX",1455767856457,8,103,10,3,"is_probably","unlikely",16408,"unlikely","is_probably unlikely","none"
"81","A16UAN46CNIRHY:323Q6SJS8JO8BETSBQ2DC4JVRBLHFX",1455767866837,9,20,2,0,"might_be","possible",10376,"possible","might_be possible","high"
"82","A16UAN46CNIRHY:323Q6SJS8JO8BETSBQ2DC4JVRBLHFX",1455767880562,10,42,4,2,"is_certainly","unlikely",13716,"unlikely","is_certainly unlikely","high"
"83","A16UAN46CNIRHY:323Q6SJS8JO8BETSBQ2DC4JVRBLHFX",1455767888649,11,108,10,8,"is_certainly","likely",8068,"likely","is_certainly likely","none"
"84","A16UAN46CNIRHY:323Q6SJS8JO8BETSBQ2DC4JVRBLHFX",1455767898451,12,86,8,6,"is_probably","likely",9797,"likely","is_probably likely","low"
"85","A177EXELDLWTWV:33CKWXB73KS6HOE622K7VFZU9I811V",1456267040499,1,20,2,0,"is","probable",4978,"likely","is likely","high"
"86","A177EXELDLWTWV:33CKWXB73KS6HOE622K7VFZU9I811V",1456267053988,2,80,8,0,"is_certainly","likely",13487,"likely","is_certainly likely","low"
"87","A177EXELDLWTWV:33CKWXB73KS6HOE622K7VFZU9I811V",1456267060907,3,88,8,8,"is","unlikely",6916,"unlikely","is unlikely","low"
"88","A177EXELDLWTWV:33CKWXB73KS6HOE622K7VFZU9I811V",1456267069742,4,86,8,6,"is_probably","unlikely",8832,"unlikely","is_probably unlikely","low"
"89","A177EXELDLWTWV:33CKWXB73KS6HOE622K7VFZU9I811V",1456267076302,5,43,4,3,"is","probable",6560,"likely","is likely","high"
"90","A177EXELDLWTWV:33CKWXB73KS6HOE622K7VFZU9I811V",1456267079862,6,42,4,2,"is","probable",3559,"likely","is likely","high"
"91","A177EXELDLWTWV:33CKWXB73KS6HOE622K7VFZU9I811V",1456267088718,7,107,10,7,"is_probably","unlikely",8855,"unlikely","is_probably unlikely","none"
"92","A177EXELDLWTWV:33CKWXB73KS6HOE622K7VFZU9I811V",1456267092990,8,105,10,5,"is_probably","unlikely",4271,"unlikely","is_probably unlikely","none"
"93","A177EXELDLWTWV:33CKWXB73KS6HOE622K7VFZU9I811V",1456267100294,9,22,2,2,"is_probably","possible",7303,"possible","is_probably possible","high"
"94","A177EXELDLWTWV:33CKWXB73KS6HOE622K7VFZU9I811V",1456267106887,10,102,10,2,"is_certainly","probable",6592,"likely","is_certainly likely","none"
"95","A177EXELDLWTWV:33CKWXB73KS6HOE622K7VFZU9I811V",1456267110246,11,103,10,3,"is_probably","probable",3358,"likely","is_probably likely","none"
"96","A177EXELDLWTWV:33CKWXB73KS6HOE622K7VFZU9I811V",1456267117038,12,41,4,1,"is","probable",6791,"likely","is likely","high"
"97","A19TL7AJ0FB1JG:33CID571051FHYWPIGG93NN558R3LV",1456261305496,1,108,10,8,"is_certainly","probable",14655,"likely","is_certainly likely","none"
"98","A19TL7AJ0FB1JG:33CID571051FHYWPIGG93NN558R3LV",1456261314167,2,105,10,5,"is","possible",8670,"possible","is possible","none"
"99","A19TL7AJ0FB1JG:33CID571051FHYWPIGG93NN558R3LV",1456261325295,3,82,8,2,"is_certainly","unlikely",11127,"unlikely","is_certainly unlikely","low"
"100","A19TL7AJ0FB1JG:33CID571051FHYWPIGG93NN558R3LV",1456261339745,4,102,10,2,"is","unlikely",14448,"unlikely","is unlikely","none"
"101","A19TL7AJ0FB1JG:33CID571051FHYWPIGG93NN558R3LV",1456261347095,5,84,8,4,"might_be","possible",7345,"possible","might_be possible","low"
"102","A19TL7AJ0FB1JG:33CID571051FHYWPIGG93NN558R3LV",1456261356360,6,80,8,0,"is_certainly","unlikely",9262,"unlikely","is_certainly unlikely","low"
"103","A19TL7AJ0FB1JG:33CID571051FHYWPIGG93NN558R3LV",1456261362984,7,107,10,7,"is_certainly","probable",6622,"likely","is_certainly likely","none"
"104","A19TL7AJ0FB1JG:33CID571051FHYWPIGG93NN558R3LV",1456261387560,8,43,4,3,"is_probably","possible",24574,"possible","is_probably possible","high"
"105","A19TL7AJ0FB1JG:33CID571051FHYWPIGG93NN558R3LV",1456261392495,9,88,8,8,"is_certainly","probable",4934,"likely","is_certainly likely","low"
"106","A19TL7AJ0FB1JG:33CID571051FHYWPIGG93NN558R3LV",1456261406616,10,22,2,2,"might_be","possible",14118,"possible","might_be possible","high"
"107","A19TL7AJ0FB1JG:33CID571051FHYWPIGG93NN558R3LV",1456261416504,11,41,4,1,"is","possible",9884,"possible","is possible","high"
"108","A19TL7AJ0FB1JG:33CID571051FHYWPIGG93NN558R3LV",1456261423248,12,42,4,2,"might_be","probable",6743,"likely","might_be likely","high"
"109","A19WXS1CLVLEEX:3IXEICO793R2XURCARGYWH969BXT6A",1456169710090,1,41,4,1,"is_probably","unlikely",30415,"unlikely","is_probably unlikely","high"
"110","A19WXS1CLVLEEX:3IXEICO793R2XURCARGYWH969BXT6A",1456169721593,2,107,10,7,"is_certainly","likely",11499,"likely","is_certainly likely","none"
"111","A19WXS1CLVLEEX:3IXEICO793R2XURCARGYWH969BXT6A",1456169738828,3,82,8,2,"is_certainly","unlikely",17234,"unlikely","is_certainly unlikely","low"
"112","A19WXS1CLVLEEX:3IXEICO793R2XURCARGYWH969BXT6A",1456169767318,4,105,10,5,"is","possible",28489,"possible","is possible","none"
"113","A19WXS1CLVLEEX:3IXEICO793R2XURCARGYWH969BXT6A",1456169784559,5,20,2,0,"might_be","possible",17239,"possible","might_be possible","high"
"114","A19WXS1CLVLEEX:3IXEICO793R2XURCARGYWH969BXT6A",1456169798813,6,84,8,4,"might_be","possible",14253,"possible","might_be possible","low"
"115","A19WXS1CLVLEEX:3IXEICO793R2XURCARGYWH969BXT6A",1456169810270,7,102,10,2,"is_certainly","unlikely",11455,"unlikely","is_certainly unlikely","none"
"116","A19WXS1CLVLEEX:3IXEICO793R2XURCARGYWH969BXT6A",1456169825083,8,43,4,3,"might_be","probable",14812,"likely","might_be likely","high"
"117","A19WXS1CLVLEEX:3IXEICO793R2XURCARGYWH969BXT6A",1456169839633,9,22,2,2,"is","possible",14548,"possible","is possible","high"
"118","A19WXS1CLVLEEX:3IXEICO793R2XURCARGYWH969BXT6A",1456169847773,10,42,4,2,"might_be","possible",8139,"possible","might_be possible","high"
"119","A19WXS1CLVLEEX:3IXEICO793R2XURCARGYWH969BXT6A",1456169853229,11,108,10,8,"is_certainly","likely",5454,"likely","is_certainly likely","none"
"120","A19WXS1CLVLEEX:3IXEICO793R2XURCARGYWH969BXT6A",1456169860384,12,80,8,0,"is_certainly","unlikely",7153,"unlikely","is_certainly unlikely","low"
"121","A1A3TGZ7DKJWRW:3G5F9DBFOQ5X7BFIB57HUQMHFATVHT",1456189851519,1,107,10,7,"is_probably","likely",13658,"likely","is_probably likely","none"
"122","A1A3TGZ7DKJWRW:3G5F9DBFOQ5X7BFIB57HUQMHFATVHT",1456189860175,2,41,4,1,"is_probably","unlikely",8655,"unlikely","is_probably unlikely","high"
"123","A1A3TGZ7DKJWRW:3G5F9DBFOQ5X7BFIB57HUQMHFATVHT",1456189870311,3,82,8,2,"is_probably","unlikely",10135,"unlikely","is_probably unlikely","low"
"124","A1A3TGZ7DKJWRW:3G5F9DBFOQ5X7BFIB57HUQMHFATVHT",1456189878007,4,102,10,2,"is_certainly","unlikely",7695,"unlikely","is_certainly unlikely","none"
"125","A1A3TGZ7DKJWRW:3G5F9DBFOQ5X7BFIB57HUQMHFATVHT",1456189884808,5,86,8,6,"is_probably","likely",6799,"likely","is_probably likely","low"
"126","A1A3TGZ7DKJWRW:3G5F9DBFOQ5X7BFIB57HUQMHFATVHT",1456189904183,6,108,10,8,"is_certainly","likely",19375,"likely","is_certainly likely","none"
"127","A1A3TGZ7DKJWRW:3G5F9DBFOQ5X7BFIB57HUQMHFATVHT",1456189910456,7,20,2,0,"might_be","possible",6272,"possible","might_be possible","high"
"128","A1A3TGZ7DKJWRW:3G5F9DBFOQ5X7BFIB57HUQMHFATVHT",1456189913759,8,22,2,2,"might_be","possible",3303,"possible","might_be possible","high"
"129","A1A3TGZ7DKJWRW:3G5F9DBFOQ5X7BFIB57HUQMHFATVHT",1456189920039,9,105,10,5,"might_be","possible",6279,"possible","might_be possible","none"
"130","A1A3TGZ7DKJWRW:3G5F9DBFOQ5X7BFIB57HUQMHFATVHT",1456189924658,10,42,4,2,"might_be","possible",4618,"possible","might_be possible","high"
"131","A1A3TGZ7DKJWRW:3G5F9DBFOQ5X7BFIB57HUQMHFATVHT",1456189932727,11,88,8,8,"is_certainly","likely",8068,"likely","is_certainly likely","low"
"132","A1A3TGZ7DKJWRW:3G5F9DBFOQ5X7BFIB57HUQMHFATVHT",1456189937575,12,84,8,4,"is_probably","likely",4845,"likely","is_probably likely","low"
"133","A1BQCRF5Q76YFY:33PPO7FECWNB9PQGQ2P8OGHPFHLDIO",1456260414822,1,88,8,8,"might_be","likely",11547,"likely","might_be likely","low"
"134","A1BQCRF5Q76YFY:33PPO7FECWNB9PQGQ2P8OGHPFHLDIO",1456260421598,2,107,10,7,"is_probably","possible",6773,"possible","is_probably possible","none"
"135","A1BQCRF5Q76YFY:33PPO7FECWNB9PQGQ2P8OGHPFHLDIO",1456260427655,3,22,2,2,"is_probably","possible",6055,"possible","is_probably possible","high"
"136","A1BQCRF5Q76YFY:33PPO7FECWNB9PQGQ2P8OGHPFHLDIO",1456260435396,4,80,8,0,"might_be","unlikely",7738,"unlikely","might_be unlikely","low"
"137","A1BQCRF5Q76YFY:33PPO7FECWNB9PQGQ2P8OGHPFHLDIO",1456260441697,5,82,8,2,"is_probably","unlikely",6300,"unlikely","is_probably unlikely","low"
"138","A1BQCRF5Q76YFY:33PPO7FECWNB9PQGQ2P8OGHPFHLDIO",1456260446626,6,43,4,3,"is_probably","possible",4927,"possible","is_probably possible","high"
"139","A1BQCRF5Q76YFY:33PPO7FECWNB9PQGQ2P8OGHPFHLDIO",1456260452823,7,84,8,4,"is_probably","possible",6195,"possible","is_probably possible","low"
"140","A1BQCRF5Q76YFY:33PPO7FECWNB9PQGQ2P8OGHPFHLDIO",1456260459985,8,20,2,0,"might_be","unlikely",7160,"unlikely","might_be unlikely","high"
"141","A1BQCRF5Q76YFY:33PPO7FECWNB9PQGQ2P8OGHPFHLDIO",1456260465288,9,86,8,6,"is_probably","possible",5301,"possible","is_probably possible","low"
"142","A1BQCRF5Q76YFY:33PPO7FECWNB9PQGQ2P8OGHPFHLDIO",1456260472455,10,102,10,2,"is_probably","unlikely",7164,"unlikely","is_probably unlikely","none"
"143","A1BQCRF5Q76YFY:33PPO7FECWNB9PQGQ2P8OGHPFHLDIO",1456260487123,11,108,10,8,"might_be","possible",14665,"possible","might_be possible","none"
"144","A1BQCRF5Q76YFY:33PPO7FECWNB9PQGQ2P8OGHPFHLDIO",1456260491139,12,105,10,5,"might_be","possible",4014,"possible","might_be possible","none"
"145","A1BWS5AD2T4NIR:34V1S5K3GT9JDFIYCLBH5H8UF5C697",1456263295908,1,88,8,8,"is_certainly","likely",19830,"likely","is_certainly likely","low"
"146","A1BWS5AD2T4NIR:34V1S5K3GT9JDFIYCLBH5H8UF5C697",1456263316789,2,80,8,0,"is_certainly","unlikely",20877,"unlikely","is_certainly unlikely","low"
"147","A1BWS5AD2T4NIR:34V1S5K3GT9JDFIYCLBH5H8UF5C697",1456263323739,3,22,2,2,"is","unlikely",6943,"unlikely","is unlikely","high"
"148","A1BWS5AD2T4NIR:34V1S5K3GT9JDFIYCLBH5H8UF5C697",1456263337898,4,41,4,1,"is","possible",14156,"possible","is possible","high"
"149","A1BWS5AD2T4NIR:34V1S5K3GT9JDFIYCLBH5H8UF5C697",1456263344178,5,82,8,2,"is","unlikely",6277,"unlikely","is unlikely","low"
"150","A1BWS5AD2T4NIR:34V1S5K3GT9JDFIYCLBH5H8UF5C697",1456263350622,6,43,4,3,"is","possible",6440,"possible","is possible","high"
"151","A1BWS5AD2T4NIR:34V1S5K3GT9JDFIYCLBH5H8UF5C697",1456263356843,7,84,8,4,"is","possible",6217,"possible","is possible","low"
"152","A1BWS5AD2T4NIR:34V1S5K3GT9JDFIYCLBH5H8UF5C697",1456263373020,8,105,10,5,"is","possible",16174,"possible","is possible","none"
"153","A1BWS5AD2T4NIR:34V1S5K3GT9JDFIYCLBH5H8UF5C697",1456263385731,9,107,10,7,"is","likely",12708,"likely","is likely","none"
"154","A1BWS5AD2T4NIR:34V1S5K3GT9JDFIYCLBH5H8UF5C697",1456263392690,10,20,2,0,"is","possible",6955,"possible","is possible","high"
"155","A1BWS5AD2T4NIR:34V1S5K3GT9JDFIYCLBH5H8UF5C697",1456263398708,11,42,4,2,"is","possible",6014,"possible","is possible","high"
"156","A1BWS5AD2T4NIR:34V1S5K3GT9JDFIYCLBH5H8UF5C697",1456263406418,12,86,8,6,"is","probable",7707,"likely","is likely","low"
"157","A1C0H8G0YI15MN:339ANSOTR6AJNVWQIJBVSTCFZQIIK6",1456261792661,1,43,4,3,"might_be","probable",61656,"likely","might_be likely","high"
"158","A1C0H8G0YI15MN:339ANSOTR6AJNVWQIJBVSTCFZQIIK6",1456261810569,2,88,8,8,"is","probable",17903,"likely","is likely","low"
"159","A1C0H8G0YI15MN:339ANSOTR6AJNVWQIJBVSTCFZQIIK6",1456261828637,3,108,10,8,"is","probable",18064,"likely","is likely","none"
"160","A1C0H8G0YI15MN:339ANSOTR6AJNVWQIJBVSTCFZQIIK6",1456261848028,4,41,4,1,"might_be","unlikely",19376,"unlikely","might_be unlikely","high"
"161","A1C0H8G0YI15MN:339ANSOTR6AJNVWQIJBVSTCFZQIIK6",1456261871809,5,42,4,2,"might_be","likely",23776,"likely","might_be likely","high"
"162","A1C0H8G0YI15MN:339ANSOTR6AJNVWQIJBVSTCFZQIIK6",1456261926021,6,105,10,5,"might_be","likely",54205,"likely","might_be likely","none"
"163","A1C0H8G0YI15MN:339ANSOTR6AJNVWQIJBVSTCFZQIIK6",1456261942588,7,20,2,0,"might_be","unlikely",16561,"unlikely","might_be unlikely","high"
"164","A1C0H8G0YI15MN:339ANSOTR6AJNVWQIJBVSTCFZQIIK6",1456261953611,8,107,10,7,"is","probable",11018,"likely","is likely","none"
